flag,start_time,target_buy_volume,target_sell_volume,target_num,trade_price,trade_volume,trade_num
0,2018-09-04 04:00:00,20.66,20.00,5,-1.0,0.00,0
0,2018-09-04 05:00:00,20.60,20.00,5,-1.0,0.00,0
0,2018-09-04 06:00:00,20.65,20.00,5,-1.0,0.00,0
0,2018-09-04 07:00:00,20.62,20.00,5,-1.0,0.00,0
0,2018-09-04 08:00:00,20.80,20.00,5,-1.0,0.00,0
0,2018-09-04 09:00:00,20.18,20.00,5,-1.0,0.00,0
0,2018-09-04 10:00:00,20.00,20.91,5,-1.0,0.00,0
0,2018-09-04 11:00:00,20.00,22.03,5,-1.0,0.00,0
0,2018-09-04 12:00:00,21.00,22.82,6,-1.0,0.00,0
0,2018-09-04 13:00:00,20.00,23.04,5,-1.0,0.00,0
0,2018-09-04 14:00:00,20.00,23.14,5,-1.0,0.00,0
0,2018-09-04 15:00:00,21.00,22.08,6,-1.0,0.00,0
0,2018-09-04 16:00:00,21.00,20.65,6,-1.0,0.00,0
0,2018-09-04 17:00:00,21.00,20.10,6,-1.0,0.00,0
0,2018-09-04 18:00:00,21.64,20.00,6,-1.0,0.00,0
0,2018-09-04 19:00:00,21.84,20.00,6,-1.0,0.00,0
0,2018-09-04 20:00:00,21.68,20.00,6,-1.0,0.00,0
0,2018-09-04 21:00:00,22.02,20.00,6,-1.0,0.00,0
0,2018-09-04 22:00:00,21.78,20.00,6,-1.0,0.00,0
0,2018-09-04 23:00:00,21.60,20.00,6,-1.0,0.00,0
0,2018-09-05 00:00:00,41.57,20.00,7,-1.0,0.00,0
0,2018-09-05 01:00:00,21.88,20.00,6,-1.0,0.00,0
0,2018-09-05 02:00:00,20.62,20.00,5,-1.0,0.00,0
0,2018-09-05 03:00:00,47.39,20.00,7,-1.0,0.00,0
0,2018-09-05 04:00:00,20.54,20.00,5,-1.0,0.00,0
0,2018-09-05 05:00:00,20.54,20.00,5,-1.0,0.00,0
0,2018-09-05 06:00:00,20.60,20.00,5,-1.0,0.00,0
0,2018-09-05 07:00:00,20.60,20.00,5,-1.0,0.00,0
0,2018-09-05 08:00:00,20.57,20.00,5,-1.0,0.00,0
0,2018-09-05 09:00:00,21.55,20.00,6,-1.0,0.00,0
0,2018-09-05 10:00:00,20.00,20.47,5,-1.0,0.00,0
0,2018-09-05 11:00:00,20.00,21.90,5,-1.0,0.00,0
0,2018-09-05 12:00:00,20.00,22.58,5,-1.0,0.00,0
0,2018-09-05 13:00:00,20.00,23.22,5,-1.0,0.00,0
0,2018-09-05 14:00:00,20.00,23.24,5,-1.0,0.00,0
0,2018-09-05 15:00:00,20.00,22.46,5,-1.0,0.00,0
0,2018-09-05 16:00:00,20.00,21.23,5,-1.0,0.00,0
0,2018-09-05 17:00:00,20.00,20.42,5,-1.0,0.00,0
0,2018-09-05 18:00:00,20.60,20.00,5,-1.0,0.00,0
0,2018-09-05 19:00:00,21.84,20.00,6,-1.0,0.00,0
0,2018-09-05 20:00:00,21.51,20.00,6,-1.0,0.00,0
0,2018-09-05 21:00:00,22.04,20.00,6,-1.0,0.00,0
0,2018-09-05 22:00:00,22.04,20.00,6,-1.0,0.00,0
0,2018-09-05 23:00:00,21.77,20.00,6,-1.0,0.00,0
0,2018-09-06 00:00:00,43.50,20.00,7,-1.0,0.00,0
0,2018-09-06 01:00:00,21.81,20.00,6,-1.0,0.00,0
0,2018-09-06 02:00:00,21.58,20.00,6,-1.0,0.00,0
0,2018-09-06 03:00:00,51.70,20.00,7,-1.0,0.00,0
0,2018-09-06 04:00:00,21.49,20.00,6,-1.0,0.00,0
